codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
79042,79042,Fuel-Related Issues,0
77639,77639,Unknonw,0
78095,78095,Others/Miscellaneous,0
78778,78778,System or Component Failure,0
53580,53580,Loss of Control,0
79314,79314,Animal Collisions,0
47245,47245,Runway and Landing Issues,0
81548,81548,Loss of Control,1
65765,65765,Others/Miscellaneous,0
50806,50806,Engine-Related Issues,1
79255,79255,System or Component Failure,0
79184,79184,Loss of Control,0
80453,80453,System or Component Failure,0
66566,66566,Others/Miscellaneous,0
78940,78940,Others/Miscellaneous,0
79956,79956,Unknonw,0
47159,47159,Loss of Control,0
79802,79802,System or Component Failure,0
53410,53410,System or Component Failure,0
81288,81288,Runway and Landing Issues,0
78407,78407,Engine-Related Issues,0
50562,50562,Weather-Related Issues,0
80380,80380,Runway and Landing Issues,0
78045,78045,Loss of Control,0
80136,80136,System or Component Failure,0
78966,78966,Engine-Related Issues,0
50981,50981,Loss of Control,0
48734,48734,Engine-Related Issues,0
65627,65627,Engine-Related Issues,0
46855,46855,Fuel-Related Issues,1
78396,78396,Unknonw,0
80489,80489,Engine-Related Issues,0
78869,78869,Health Factors,0
81140,81140,Loss of Control,1
53307,53307,Loss of Control,3
78944,78944,System or Component Failure,0
80767,80767,System or Component Failure,0
65275,65275,Others/Miscellaneous,0
48898,48898,System or Component Failure,0
52834,52834,Runway and Landing Issues,0
80027,80027,System or Component Failure,0
81300,81300,Others/Miscellaneous,0
52671,52671,Loss of Control,1
80702,80702,Loss of Control,0
77678,77678,System or Component Failure,3
60630,60630,Runway and Landing Issues,0
77663,77663,Runway and Landing Issues,0
77860,77860,Engine-Related Issues,0
79466,79466,Loss of Control,0
53281,53281,Animal Collisions,0
78590,78590,Engine-Related Issues,0
80386,80386,Runway and Landing Issues,0
79441,79441,Others/Miscellaneous,0
49513,49513,Engine-Related Issues,0
80550,80550,Runway and Landing Issues,0
80549,80549,Engine-Related Issues,0
78911,78911,System or Component Failure,0
53594,53594,System or Component Failure,0
81244,81244,Runway and Landing Issues,0
79844,79844,Engine-Related Issues,0
80050,80050,Loss of Control,0
78938,78938,Engine-Related Issues,0
